TestName,SchemaName,EncryptionAlgo,TestSize,DatabaseSize,Time
RunDeletes,EncryptedWithEnclaves,Randomized,100,14174,38.8335203
RunDeletes,Encrypted,Randomized,100,14174,101.4114969
RunDeletes,NotEncrypted,Randomized,100,14174,5.0851182
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,14174,2.4009873
FindWhereDOB,Encrypted,Randomized,0,14174,98.1558258
FindWhereDOB,NotEncrypted,Randomized,0,14174,0.06855
RunCreates,EncryptedWithEnclaves,Randomized,100,17868,3.8572015
RunCreates,Encrypted,Randomized,100,17868,3.8225531
RunCreates,NotEncrypted,Randomized,100,17868,3.8034161
RunFinds,EncryptedWithEnclaves,Randomized,100,17868,28.2171526
RunFinds,Encrypted,Randomized,100,17868,149.1669024
RunFinds,NotEncrypted,Randomized,100,17868,2.9578838
RunUpdates,EncryptedWithEnclaves,Randomized,100,17868,22.7692987
RunUpdates,Encrypted,Randomized,100,17868,156.9722478
RunUpdates,NotEncrypted,Randomized,100,17868,3.5815509
RunDeletes,EncryptedWithEnclaves,Randomized,100,17868,48.5467543
RunDeletes,Encrypted,Randomized,100,17868,160.3052101
RunDeletes,NotEncrypted,Randomized,100,17868,6.3968995
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,17868,2.9058597
FindWhereDOB,Encrypted,Randomized,0,17868,156.118918
FindWhereDOB,NotEncrypted,Randomized,0,17868,0.0735651
RunCreates,EncryptedWithEnclaves,Randomized,100,19349,3.8369225
RunCreates,Encrypted,Randomized,100,19349,3.9319548
RunCreates,NotEncrypted,Randomized,100,19349,3.9246791
RunFinds,EncryptedWithEnclaves,Randomized,100,19349,30.6197184
RunFinds,Encrypted,Randomized,100,19349,228.9029156
RunFinds,NotEncrypted,Randomized,100,19349,3.1571777
RunUpdates,EncryptedWithEnclaves,Randomized,100,19349,25.0299124
RunUpdates,Encrypted,Randomized,100,19349,227.7306987
RunUpdates,NotEncrypted,Randomized,100,19349,3.7064622
RunDeletes,EncryptedWithEnclaves,Randomized,100,19349,51.10762
RunDeletes,Encrypted,Randomized,100,19349,236.26528
RunDeletes,NotEncrypted,Randomized,100,19349,6.8487153
FindWhereDOB,EncryptedWithEnclaves,Randomized,0,19349,3.3604327
FindWhereDOB,Encrypted,Randomized,0,19349,225.5960008
